forecast_time,temperature,fetch_time,location
2025-07-21 03:00:00,29.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 02:00:00,28.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 02:00:00,28.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 01:00:00,26.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 01:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-21 00:00:00,25.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-21 00:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 23:00:00,25.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 23:00:00,26.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 22:00:00,25.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 22:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 21:00:00,25.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 21:00:00,25.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 20:00:00,25.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 20:00:00,25.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 19:00:00,25.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 19:00:00,26.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 18:00:00,26.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 18:00:00,26.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 17:00:00,26.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 17:00:00,26.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 16:00:00,26.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 16:00:00,26.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 15:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 15:00:00,27.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 14:00:00,27.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 14:00:00,27.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 13:00:00,27.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 13:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 12:00:00,28.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 12:00:00,28.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 11:00:00,29.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 11:00:00,29.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 10:00:00,30.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 10:00:00,29.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 09:00:00,31.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 09:00:00,30.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 08:00:00,31.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 08:00:00,32.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 07:00:00,32.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 07:00:00,31.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 06:00:00,31.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 06:00:00,31.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 05:00:00,32.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 05:00:00,31.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 04:00:00,31.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 04:00:00,31.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 03:00:00,30.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 03:00:00,30.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 02:00:00,29.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 02:00:00,28.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 01:00:00,27.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 01:00:00,27.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-20 00:00:00,26.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-20 00:00:00,26.5,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 23:00:00,26.1,2025-07-19 11:01:20.480093,Bangkok
